1,0,1,2,0,2,0,1,2,0,2,0,1,1,2,1,0,0,0,0,0,1,2,2,2,0,1,0,2,0,0,1,1,1,2,2
1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1
1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
1,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
1,11,11,11,14,14,14,11,11,11,11,11,11,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
2,11,14,14,14,14,14,14,14,11,11,11,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
2,14,14,14,14,14,14,14,14,14,11,11,12,14,14,14,13,13,14,14,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,2
2,11,14,14,14,14,14,14,14,11,11,11,12,14,14,14,13,13,14,14,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
0,11,11,14,14,14,14,14,14,14,11,11,12,13,13,13,13,13,13,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,2
1,11,11,14,14,14,14,14,14,14,11,11,12,13,13,13,13,3,4,13,13,12,11,11,11,11,11,11,11,11,11,11,11,11,11,1
0,11,11,14,14,14,14,14,14,14,11,11,12,14,14,14,13,13,3,14,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,0
0,11,11,11,14,14,14,14,14,11,11,11,12,14,14,14,13,13,4,14,14,12,11,11,11,11,11,11,11,11,11,11,11,11,11,1
1,3,3,3,4,3,3,4,3,3,4,3,12,12,12,12,12,12,12,12,12,12,4,3,3,4,3,3,4,3,3,4,3,3,3,2
1,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,11,4,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
2,11,11,11,11,14,14,14,11,11,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1
1,11,11,11,14,14,14,14,14,11,11,11,11,11,11,11,11,11,3,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,2
1,11,11,11,14,14,14,14,14,11,11,11,14,14,14,14,11,11,4,11,11,11,11,11,11,11,11,14,14,14,11,11,11,11,11,1
0,11,11,11,14,14,14,14,14,11,14,14,14,14,14,14,14,11,3,11,11,11,11,11,11,14,14,14,14,14,14,14,11,11,11,0
2,11,11,11,11,14,14,14,11,14,14,14,14,14,14,14,14,14,3,11,11,11,11,11,14,14,14,14,14,14,14,14,14,11,11,0
2,11,11,11,11,11,14,11,11,14,14,14,14,14,14,14,14,14,4,11,11,11,11,11,14,14,14,14,14,14,14,14,14,11,11,2
1,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,14,11,3,11,11,11,11,11,14,14,14,14,14,14,14,14,14,11,11,1
2,11,11,11,11,11,11,11,11,11,14,14,14,14,14,14,14,11,3,11,11,11,11,11,11,14,14,14,14,14,14,14,11,11,11,0
1,11,11,11,11,11,11,11,11,11,11,11,14,14,14,11,11,11,4,11,11,11,11,11,11,11,11,14,14,14,11,11,11,11,11,0
1,0,2,2,0,0,1,1,0,1,0,1,2,2,2,2,0,0,2,0,0,0,1,2,0,0,2,0,0,2,0,1,1,0,0,0
